Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	obo:WBPhenotype_0001560	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0002330	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0002331	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000991	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000573	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000870	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000110	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0001818	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000869	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000109	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0001638	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000588	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000720	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000587	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0002329	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000108	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000920	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0001214	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000248	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000589	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000721	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000719	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000872	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000871	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0001784	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0000678	obo:IAO_0000115		
ERROR	duplicate_definition	obo:WBPhenotype_0001149	obo:IAO_0000115		
ERROR	missing_label	obo:CHEBI_26547	rdfs:label		
ERROR	missing_label	obo:CHEBI_25213	rdfs:label		
ERROR	missing_label	obo:CHEBI_25212	rdfs:label		
ERROR	missing_label	obo:GO_0031109	rdfs:label		
ERROR	missing_label	obo:PATO_0000488	rdfs:label		
ERROR	missing_label	obo:GO_0044424	rdfs:label		
ERROR	missing_label	obo:PATO_0000487	rdfs:label		
ERROR	missing_label	obo:CHEBI_76807	rdfs:label		
ERROR	missing_label	obo:GO_0044421	rdfs:label		
ERROR	missing_label	obo:GO_0044422	rdfs:label		
ERROR	missing_label	obo:GO_1905132	rdfs:label		
ERROR	missing_label	obo:GO_0044420	rdfs:label		
ERROR	missing_label	obo:GO_1905133	rdfs:label		
ERROR	missing_label	obo:GO_1905134	rdfs:label		
ERROR	missing_label	obo:CHEBI_35498	rdfs:label		
ERROR	missing_label	obo:GO_0090327	rdfs:label		
ERROR	missing_label	obo:GO_0090325	rdfs:label		
ERROR	missing_label	obo:GO_0044429	rdfs:label		
ERROR	missing_label	obo:CHEBI_60466	rdfs:label		
ERROR	missing_label	obo:GO_0090326	rdfs:label		
ERROR	missing_label	obo:GO_0044427	rdfs:label		
ERROR	missing_label	obo:GO_0044428	rdfs:label		
ERROR	missing_label	obo:GO_0045759	rdfs:label		
ERROR	missing_label	obo:GO_0090329	rdfs:label		
ERROR	missing_label	obo:GO_0044425	rdfs:label		
ERROR	missing_label	obo:WBbt_0004015	rdfs:label		
ERROR	missing_label	obo:WBbt_0005347	rdfs:label		
ERROR	missing_label	obo:WBbt_0005340	rdfs:label		
ERROR	missing_label	obo:WBbt_0005342	rdfs:label		
ERROR	missing_label	obo:CHEBI_26558	rdfs:label		
ERROR	missing_label	obo:CHEBI_76812	rdfs:label		
ERROR	missing_label	obo:CHEBI_25224	rdfs:label		
ERROR	missing_label	obo:CHEBI_25223	rdfs:label		
ERROR	missing_label	obo:WBbt_0004017	rdfs:label		
ERROR	missing_label	obo:CHEBI_76815	rdfs:label		
ERROR	missing_label	obo:PATO_0000499	rdfs:label		
ERROR	missing_label	obo:CHEBI_27882	rdfs:label		
ERROR	missing_label	obo:PATO_0000498	rdfs:label		
ERROR	missing_label	obo:GO_0044432	rdfs:label		
ERROR	missing_label	obo:GO_0044433	rdfs:label		
ERROR	missing_label	obo:GO_0044430	rdfs:label		
ERROR	missing_label	obo:GO_0044431	rdfs:label		
ERROR	missing_label	obo:GO_0045760	rdfs:label		
ERROR	missing_label	obo:GO_1905146	rdfs:label		
ERROR	missing_label	obo:UBERON_0011585	rdfs:label		
ERROR	missing_label	obo:GO_0007492	rdfs:label		
ERROR	missing_label	obo:CHEBI_38534	rdfs:label		
ERROR	missing_label	obo:GO_0044438	rdfs:label		
ERROR	missing_label	obo:GO_0045769	rdfs:label		
ERROR	missing_label	obo:GO_0044439	rdfs:label		
ERROR	missing_label	obo:GO_0044437	rdfs:label		
ERROR	missing_label	obo:GO_0018130	rdfs:label		
ERROR	missing_label	obo:WBbt_0005319	rdfs:label		
ERROR	missing_label	obo:GO_0044445	rdfs:label		
ERROR	missing_label	obo:CHEBI_22160	rdfs:label		
ERROR	missing_label	obo:GO_0044446	rdfs:label		
ERROR	missing_label	obo:GO_0044444	rdfs:label		
ERROR	missing_label	obo:GO_1905153	rdfs:label		
ERROR	missing_label	obo:CHEBI_63510	rdfs:label		
ERROR	missing_label	obo:GO_0044441	rdfs:label		
ERROR	missing_label	obo:GO_1905154	rdfs:label		
ERROR	missing_label	obo:CHEBI_23495	rdfs:label		
ERROR	missing_label	obo:GO_1905155	rdfs:label		
ERROR	missing_label	obo:GO_0045773	rdfs:label		
ERROR	missing_label	obo:GO_0045770	rdfs:label		
