Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	WBPhenotype:0001638	IAO:0000115	Animals are deficient in the formation or disassembly of lysosomes.	
ERROR	duplicate_definition	WBPhenotype:0001784	IAO:0000115	Animals are deficient in the formation or disassembly of lysosomes.	
ERROR	duplicate_definition	WBPhenotype:0000991	IAO:0000115	Activity of the neuron varies from that observed for control animals or neurons. In C. elegans neuron activity is often assayed by observing calcium spikes.	
ERROR	duplicate_definition	WBPhenotype:0001818	IAO:0000115	Activity of the neuron varies from that observed for control animals or neurons. In C. elegans neuron activity is often assayed by observing calcium spikes.	
ERROR	missing_label	PATO:0000956	rdfs:label		
ERROR	missing_label	WBbt:0003760	rdfs:label		
ERROR	missing_ontology_description	wbphenotype.owl	dc11:description		
ERROR	missing_ontology_license	wbphenotype.owl	dc:license		
ERROR	missing_ontology_title	wbphenotype.owl	dc11:title		
WARN	missing_definition	IAO:0000115	IAO:0000115		
WARN	missing_definition	PATO:0000956	IAO:0000115		
WARN	missing_definition	WBbt:0003760	IAO:0000115		
WARN	missing_definition	oboInOwl:SubsetProperty	IAO:0000115		
WARN	missing_definition	oboInOwl:hasAlternativeId	IAO:0000115		
WARN	missing_definition	oboInOwl:hasBroadSynonym	IAO:0000115		
WARN	missing_definition	oboInOwl:hasDbXref	IAO:0000115		
WARN	missing_definition	oboInOwl:hasExactSynonym	IAO:0000115		
WARN	missing_definition	oboInOwl:hasNarrowSynonym	IAO:0000115		
WARN	missing_definition	oboInOwl:hasOBOFormatVersion	IAO:0000115		
WARN	missing_definition	oboInOwl:hasOBONamespace	IAO:0000115		
WARN	missing_definition	oboInOwl:hasRelatedSynonym	IAO:0000115		
WARN	missing_definition	oboInOwl:inSubset	IAO:0000115		
INFO	lowercase_definition	WBPhenotype:0002254	IAO:0000115	3' uridylation of mRNA targeted for silencing does not occur at the same rate or extent of targeted mRNA in control animals.	
INFO	lowercase_definition	WBPhenotype:0002402	IAO:0000115	a cell (or group of cells) is not found in the correct body position compared the placement in control animals.	
INFO	missing_superclass	WBPhenotype:0000886	rdfs:subClassOf		
