Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	multi fate stem cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	duct epithelial cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	columnar/cuboidal epithelial cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	epithelial cell of pancreas
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	sensory epithelial cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	glandular epithelial cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	hepatocyte
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	muscle cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	cell of skeletal muscle
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	extraembryonic cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	animal cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	muscle precursor cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	somatic stem cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	hematopoietic cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	endo-epithelial cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	ecto-epithelial cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	meso-epithelial cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	vertebrate lens cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	neural cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	connective tissue cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	cardiocyte
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	embryonic blood vessel endothelial progenitor cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	mesenchymal cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	mural cell
ERROR	deprecated_class_reference	somatic cell	rdfs:subClassOf	epithelial cell of gallbladder
ERROR	deprecated_class_reference	somatic cell	owl:disjointWith	germ line cell
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	obsolete germ line stem cell (sensu Nematoda and Protostomia)
