defined_class	defined_class_label	anatomical_entity	anatomical_entity_label
WBPhenotype:0000495	ray ectopic	WBbt:0006941	ray
WBPhenotype:0002490	ectopic axon outgrowth	GO:0030424	axon
WBPhenotype:0002491	ectopic neurite outgrowth	GO:0043005	neuron projection
WBPhenotype:0002492	ectopic body wall muscle	WBbt:0006804	body wall muscle cell
WBPhenotype:0002493	ectopic cell	WBbt:0004017	cell
WBPhenotype:0002495	ectopic hypodermis	WBbt:0005733	hypodermis
WBPhenotype:0002496	ectopic neuron	WBbt:0003679	neuron
WBPhenotype:0002497	ectopic pharyngeal muscle	WBbt:0005451	pharyngeal muscle cell
WBPhenotype:0002498	ectopic organ	WBbt:0003760	organ
WBPhenotype:0002499	ectopic vulva	WBbt:0006748	vulva
WBPhenotype:0002500	ectopic cleavage furrow	GO:0032154	cleavage furrow
